Match Date,Home Team,Away Team,Home Score,Away Score,Result
2024-04-24,TEAM D,Team A,2,0,home win
2024/03/12, Team C , Team B ,2,3,AWAY WIN
2024/11/07, Team E ,Team A,0,1,AWAY WIN
2024-08-22,Team C, Team B ,0,5,AWAY WIN
2024-08-07,TEAM E,team a,4,1,home win
2024/09/26,Team E, Team D ,5,2,Home Win
04-02-2024,team d,Team A,2,0,home win
16-12-2024, Team E ,team c,2,5,Away Win
2024-01-23,Team B,TEAM A,3,,Away Win
07-04-2024,TEAM C,Team D,4,0,HOME WIN
13-08-2024,TEAM C,team e,2,3,AWAY WIN
2024-08-05, Team D ,team e,4,0,HOME WIN
2024/08/16, Team E ,team c,0,2,away win
10-08-2024,Team D,Team C,5,2,HOME WIN
2024/11/07, Team D ,Team C,5,0,Home Win
2024/01/17,team b, Team A ,5,3,HOME WIN
22-07-2024,TEAM C,team e,0,4,away win
14-05-2024, Team A ,team e,3,4,Away Win
2024-08-19, Team E ,Team C,3,1,Home Win
2024/12/30,team c,TEAM E,4,2,Home Win
14-01-2024,TEAM E, Team B ,1,1,draw
26-09-2024, Team E ,Team B,0,Three,
2024/03/06,team b,team c,3,4,away win
2024/06/14,team d,TEAM A,4,1,Home Win
2024/03/05,TEAM E,Team C,2,4,away win
05-11-2024,Team E,Team B,4,5,AWAY WIN
2024/08/01,Team A, Team E ,4,1,HOME WIN
01-06-2024,Team E,Team C,2,5,away win
2024/06/09,TEAM B,TEAM D,3,4,Away Win
2024-08-26,TEAM D, Team B ,4,2,Home Win
2024-05-07,TEAM B,TEAM E,2,4,away win
2024-01-12, Team B , Team E ,4,2,home win
2024/05/26,Team B,Team E,0,Three,
24-01-2024,Team D,team b,5,3,home win
2024-03-06, Team C ,TEAM E,Three,2,Home Win
2024-01-21,Team C,team e,1,3,AWAY WIN
2024/06/16,TEAM C,team d,1,4,Away Win
2024/12/28,TEAM D, Team C ,4,4,draw
2024/12/18,Team A, Team C ,0,4,away win
13-11-2024,team c,team b,4,4,DRAW
2024-12-19, Team A , Team E ,3,1,home win
26-09-2024,TEAM A,team b,4,5,away win
2024/11/25,TEAM D, Team C ,5,5,DRAW
2024-12-26, Team B ,TEAM E,2,2,draw
2024/12/12, Team D , Team C ,5,0,HOME WIN
2024/08/14,TEAM C, Team B ,2,0,home win
2024-03-11,team b,team e,2,5,away win
2024-08-29,team a,Team B,0,2,AWAY WIN
13-06-2024,Team E,Team B,3,1,home win
2024-08-01,Team E, Team B ,5,0,Home Win
2024/10/17,Team D,TEAM B,2,0,home win
27-08-2024,team c,Team D,4,1,HOME WIN
21-06-2024,team c,team b,5,1,Home Win
2024-02-18,team e, Team D ,4,3,HOME WIN
17-06-2024,Team C,TEAM B,,3,Draw
2024/12/17,TEAM C,Team B,Two,1,
2024/08/20,TEAM C, Team E ,1,3,Away Win
2024-11-01, Team E ,TEAM D,5,1,HOME WIN
2024/06/16, Team A ,Team E,Two,1,Away Win
2024/03/08, Team B , Team D ,4,0,home win
21-07-2024,Team E,team a,5,5,Draw
05-02-2024,Team E,TEAM A,,0,Home Win
10-07-2024, Team D , Team B ,5,5,draw
2024-06-27,team d, Team A ,5,1,HOME WIN
2024/08/25, Team E , Team B ,1,0,home win
2024/01/17, Team B ,Team E,1,5,Away Win
2024/05/05,Team B, Team E ,Two,5,Home Win
21-10-2024,TEAM D,team b,0,2,Away Win
2024/02/01,team c, Team B ,4,2,home win
25-09-2024, Team E , Team D ,,5,
2024-12-28, Team B ,Team C,4,1,home win
2024-05-10,TEAM E,Team D,4,3,Home Win
2024/07/12,Team D,Team C,5,0,home win
2024/04/07,Team B, Team E ,2,0,Home Win
2024/08/26,TEAM B,TEAM E,1,2,away win
2024-06-12,TEAM C,TEAM E,3,5,away win
2024/10/10, Team D ,TEAM A,1,0,home win
2024/10/08,TEAM B,TEAM E,3,1,home win
06-10-2024,team d,Team E,5,1,Home Win
04-01-2024,team e,team a,0,5,Away Win
2024/11/12, Team A , Team B ,,2,Home Win
01-10-2024,Team A, Team E ,3,,Draw
26-09-2024,TEAM B,TEAM A,4,1,HOME WIN
25-04-2024,Team D,Team A,3,1,HOME WIN
2024-12-25,Team A, Team D ,4,5,Away Win
2024/04/18, Team D ,TEAM C,0,0,Draw
2024-01-17,TEAM A,Team E,2,4,AWAY WIN
2024/03/24,team b, Team E ,5,0,home win
2024/02/10,TEAM E,Team C,5,5,DRAW
22-07-2024,Team A,TEAM D,0,4,AWAY WIN
2024/12/14, Team D ,Team E,4,3,Home Win
2024/07/13,team e, Team C ,5,Three,Away Win
2024-05-18,team c,Team E,0,3,away win
15-02-2024,Team B,TEAM D,4,0,Home Win
2024/05/04,team d, Team A ,3,5,AWAY WIN
10-08-2024, Team B ,TEAM E,2,0,Home Win
2024-11-11, Team D ,Team A,1,3,AWAY WIN
17-06-2024,TEAM B, Team C ,,4,
2024-06-09, Team E ,TEAM B,4,1,home win
2024-07-05,team c,team d,1,2,away win
2024/05/29,Team E, Team A ,3,1,home win
04-08-2024,Team D, Team B ,1,1,DRAW
2024-10-05,TEAM E,Team D,4,5,away win
2024/10/15, Team A ,TEAM B,2,4,Away Win
16-08-2024, Team D , Team A ,,4,Away Win
2024-02-13,team e,TEAM B,0,2,away win
19-02-2024, Team C ,TEAM E,1,2,away win
2024-11-27,team a,team c,,0,Draw
2024/07/26,team e,team b,2,3,Away Win
30-10-2024, Team D ,Team E,,1,
2024/02/22,team b,TEAM E,5,0,HOME WIN
23-11-2024, Team C , Team B ,2,3,AWAY WIN
2024/06/01,Team E,team a,3,5,AWAY WIN
18-09-2024, Team C ,team a,0,5,Away Win
2024/03/29,team e, Team D ,3,5,AWAY WIN
2024-09-05,team c, Team B ,3,2,Home Win
2024-03-26,Team E,team d,3,3,draw
2024/09/10,Team C,Team A,4,3,HOME WIN
21-04-2024,Team C,team e,0,3,AWAY WIN
2024-03-01,team c,TEAM A,2,0,home win
18-10-2024,TEAM E,team d,1,1,Draw
2024-02-18, Team C ,Team E,2,4,AWAY WIN
2024/05/06, Team C , Team B ,1,5,away win
2024/07/25,TEAM B,TEAM C,3,5,Away Win
2024/08/22,TEAM D,Team E,0,5,Away Win
14-06-2024,TEAM E,team d,3,3,draw
16-11-2024,Team E,Team D,5,0,Home Win
28-11-2024,team b,TEAM D,3,5,Away Win
27-01-2024,TEAM A,team c,2,5,Away Win
2024-10-30, Team D ,Team A,0,0,Draw
27-04-2024,Team A,Team C,3,3,Draw
2024-12-12,Team A,Team C,2,1,HOME WIN
2024/07/29, Team E ,team b,5,5,Draw
07-08-2024,team a,team e,0,3,away win
2024-12-19,TEAM C,team a,4,4,draw
2024-07-16,team e, Team B ,2,1,home win
2024/07/17, Team E ,TEAM A,0,2,Away Win
08-01-2024,team e,Team B,0,,Home Win
25-12-2024,Team A,team d,5,3,home win
16-06-2024,Team C,TEAM A,4,1,HOME WIN
2024/11/09,Team D,TEAM B,Two,0,
11-09-2024,TEAM B,team a,,0,Away Win
20-06-2024,TEAM C,Team B,2,0,Home Win
26-03-2024,team c,TEAM A,4,3,HOME WIN
2024-05-05, Team A ,TEAM E,4,,Home Win
01-12-2024,team d,TEAM B,0,5,AWAY WIN
2024-07-09,Team B,team d,2,0,HOME WIN
2024-06-16, Team B ,Team A,0,2,away win
2024/07/07, Team C ,team b,2,1,home win
2024/11/21,Team E,TEAM B,3,,Draw
01-05-2024, Team A ,Team D,5,1,HOME WIN
24-12-2024, Team B ,Team C,1,4,away win
2024-10-17, Team E ,team a,5,0,HOME WIN
16-06-2024, Team B ,TEAM C,2,3,AWAY WIN
2024-03-20,team b, Team A ,1,4,Away Win
06-06-2024,TEAM D,Team C,4,1,home win
2024-01-21,TEAM A,team b,2,5,AWAY WIN
2024-05-13,Team A, Team B ,3,5,away win
2024-01-07,team d,team b,0,1,Away Win
27-10-2024,Team B,Team D,5,0,HOME WIN
2024-03-03, Team A ,Team B,3,0,home win
2024-08-06,TEAM B,team d,3,3,DRAW
27-11-2024, Team B , Team C ,1,,Away Win
2024/11/25,team e,Team D,Three,3,Away Win
13-06-2024,TEAM D,team c,3,4,AWAY WIN
2024/08/29,TEAM A,team c,0,2,Away Win
2024/04/22, Team B ,TEAM A,1,5,Away Win
2024-10-29,TEAM B,team e,2,5,away win
2024-01-20,Team E,team b,3,1,home win
07-03-2024,team e,TEAM B,,2,Away Win
2024-07-05,TEAM A, Team E ,5,0,HOME WIN
2024/08/11, Team E ,TEAM A,2,1,HOME WIN
18-12-2024,team b,team c,4,3,home win
2024-11-09,Team A, Team D ,4,,Draw
2024-11-21,TEAM B, Team C ,1,2,Away Win
2024-01-01, Team A , Team C ,5,Three,Home Win
2024-07-11, Team D ,team b,3,2,HOME WIN
2024-02-23,TEAM B,team d,Two,2,Draw
2024/10/31, Team D ,Team B,4,0,home win
2024-04-15, Team D ,TEAM B,3,0,home win
2024-03-19,TEAM C,Team E,0,4,away win
2024-02-19,team d,team a,5,3,Home Win
2024/09/07,TEAM C,Team A,0,3,away win
14-05-2024, Team E ,TEAM D,3,3,Draw
2024/02/13,TEAM B, Team C ,1,5,Away Win
17-12-2024,team e, Team B ,3,3,DRAW
02-03-2024,team c,team a,5,,Away Win
2024-11-17,TEAM B,TEAM E,3,Three,Away Win
2024-08-22, Team A ,Team E,3,2,HOME WIN
2024-10-15,TEAM D,TEAM B,4,0,Home Win
29-03-2024, Team D ,team c,3,3,Draw
2024/01/26, Team E ,TEAM D,,2,Away Win
2024-12-16,team c,team a,2,3,AWAY WIN
2024-11-26,team c, Team D ,2,3,AWAY WIN
2024-03-22,TEAM B, Team D ,4,0,HOME WIN
2024-08-21,TEAM B,team a,1,1,Draw
2024-01-16,TEAM C, Team E ,4,0,HOME WIN
24-03-2024,Team E,TEAM D,3,2,home win
2024-11-27,team a,TEAM D,,1,Away Win
2024-11-27,Team D,team a,5,,Away Win
27-06-2024,TEAM C,team e,5,3,home win
2024/09/18,TEAM D,TEAM C,4,0,Home Win
21-05-2024,TEAM C,team a,2,5,away win
2024/03/12,Team B, Team E ,4,2,HOME WIN
2024/12/28,team c,TEAM E,3,0,HOME WIN
2024/12/02,team b,TEAM D,5,2,Home Win
14-12-2024,Team A,team d,2,4,Away Win
2024/05/13,TEAM C, Team B ,2,2,draw
14-12-2024,TEAM A, Team D ,Two,1,Home Win
14-03-2024,team a,Team B,1,4,away win
19-08-2024,team d,team c,1,0,Home Win
07-08-2024, Team E , Team B ,0,3,AWAY WIN
2024/06/13,team d,Team A,,2,Home Win
2024/09/14,TEAM A,team b,2,0,home win
25-09-2024, Team A ,team e,2,4,AWAY WIN
2024-04-26,team c,team d,1,3,Away Win
23-11-2024,Team A,Team B,5,0,home win
2024/03/04,TEAM A, Team E ,,3,
2024-12-04,TEAM B,team e,5,,
2024-09-11,team d,TEAM A,4,0,Home Win
2024-09-11, Team E ,TEAM B,3,0,HOME WIN
2024-03-17,Team B,Team A,,0,
2024-03-30,TEAM C,TEAM B,2,0,Home Win
2024/03/11,team c,TEAM D,0,0,Draw
2024-06-24,Team C, Team D ,2,0,home win
2024-11-28,Team D,team e,3,3,draw
2024-08-12, Team A ,TEAM B,4,4,DRAW
2024-09-06, Team E , Team A ,5,1,home win
08-12-2024,Team A, Team E ,2,,Away Win
2024-11-09,Team B,team d,5,1,HOME WIN
03-05-2024,TEAM E,Team D,1,Three,Draw
23-08-2024, Team E ,Team B,3,1,Home Win
25-07-2024,Team D,Team E,3,0,Home Win
23-06-2024,Team A,team c,4,5,away win
2024/07/05, Team D ,Team C,4,5,AWAY WIN
2024/10/07,TEAM A,Team B,,5,Draw
2024/05/10,team a,team b,5,3,Home Win
2024/01/24,Team A, Team D ,1,0,home win
2024/08/09, Team D ,team b,0,0,DRAW
06-11-2024, Team E , Team B ,1,5,AWAY WIN
11-03-2024,TEAM E,TEAM B,2,3,Away Win
2024-12-10,team e,TEAM B,4,5,away win
2024/08/01,TEAM A, Team C ,4,5,AWAY WIN
12-04-2024,team a,TEAM E,,5,Home Win
17-01-2024, Team C ,Team B,5,1,HOME WIN
2024/05/27,Team E, Team B ,4,4,DRAW
2024/01/07,TEAM D,team e,5,4,Home Win
2024/10/28,team e,team d,5,5,draw
2024-07-12, Team C ,TEAM D,5,Two,Home Win
2024/08/26,team e,Team C,4,0,home win
2024/09/08,TEAM B,Team C,5,5,draw
2024/10/05, Team C ,Team B,4,Two,
2024/04/21, Team C ,Team B,5,2,home win
2024/01/21,TEAM A, Team C ,5,4,Home Win
2024/09/20, Team A , Team D ,5,4,home win
2024/03/26,Team A,Team C,1,0,Home Win
2024/12/25, Team B ,Team E,3,1,HOME WIN
2024-01-28,TEAM B,Team A,2,,Home Win
09-08-2024,Team E, Team B ,3,5,away win
2024/07/02,Team A,TEAM E,4,Two,Home Win
2024-08-30,team c,team a,3,5,Away Win
2024-07-10,team d,Team C,1,5,AWAY WIN
2024/04/17,TEAM A,team e,3,0,home win
2024-02-28,Team D, Team B ,1,2,Away Win
24-10-2024,TEAM E,TEAM A,0,1,AWAY WIN
05-09-2024,TEAM B,TEAM E,4,Two,Draw
03-01-2024,team e,team b,2,3,Away Win
24-08-2024,TEAM D,TEAM C,1,2,away win
2024-10-02,TEAM D,Team A,4,2,Home Win
2024-10-29,Team A,TEAM E,5,,
2024-05-28, Team E ,Team D,1,1,DRAW
2024/03/25,team d, Team C ,5,4,HOME WIN
04-09-2024,Team B,team e,4,1,HOME WIN
22-09-2024, Team D , Team B ,Three,5,Away Win
2024/05/14,team d, Team A ,,0,Draw
21-09-2024,TEAM D,TEAM C,0,3,Away Win
2024-03-25,Team D,TEAM E,0,1,away win
27-04-2024,TEAM B,Team E,2,0,HOME WIN
2024-05-04,team d,team e,4,3,Home Win
21-09-2024,Team B,TEAM A,1,Three,Away Win
2024/07/29,team a,team b,3,1,Home Win
2024-10-29,team e, Team C ,5,3,HOME WIN
2024-08-02,Team D,team b,1,4,AWAY WIN
2024/09/03,team d,Team A,4,0,Home Win
03-09-2024,TEAM D,Team E,0,3,Away Win
2024/11/02, Team D ,TEAM B,1,0,home win
04-01-2024,team b,TEAM A,0,0,DRAW
01-10-2024,TEAM D,TEAM C,3,2,home win
11-10-2024,TEAM D,TEAM B,4,2,HOME WIN
27-04-2024,team e,Team C,3,5,Away Win
2024-01-27, Team B ,Team D,4,5,AWAY WIN
23-04-2024,Team A,Team B,4,0,home win
2024/03/30, Team D , Team E ,4,4,Draw
2024/09/18,team a,team b,4,0,HOME WIN
23-07-2024, Team A , Team C ,0,0,draw
2024/05/25,TEAM E,TEAM B,5,0,HOME WIN
03-01-2024,team c, Team B ,1,3,AWAY WIN
2024/05/11,TEAM E, Team A ,4,0,HOME WIN
2024/08/23,Team D, Team E ,2,3,AWAY WIN
30-07-2024,Team A,TEAM C,Two,1,Draw
2024-10-10, Team B ,TEAM C,5,2,Home Win
07-04-2024,team c,team b,2,5,AWAY WIN
2024-03-20,Team B,Team C,1,4,away win
13-11-2024, Team D ,TEAM A,4,3,home win
2024-03-06, Team D , Team B ,4,1,HOME WIN
2024/03/02, Team E ,TEAM A,3,1,home win
09-11-2024,team a,TEAM E,3,2,home win
2024-08-05, Team B ,TEAM C,4,1,home win
2024-04-27,TEAM C,team d,1,4,AWAY WIN
2024-08-30,team e, Team D ,1,5,Away Win
06-09-2024,TEAM D,Team B,5,5,draw
2024-11-18, Team D ,TEAM A,0,2,away win
11-01-2024,Team C,TEAM E,4,2,home win
30-06-2024, Team E , Team B ,5,1,home win
23-11-2024, Team A , Team D ,3,1,Home Win
29-12-2024, Team A ,TEAM E,1,5,away win
2024-04-04,team d,team c,4,3,Home Win
2024-10-07,Team C, Team A ,3,0,home win
2024-06-07,team e,TEAM A,4,5,away win
15-06-2024, Team D ,TEAM B,1,,Draw
2024/08/21, Team E ,TEAM D,5,4,HOME WIN
2024-05-13,TEAM C,Team D,0,2,away win
01-09-2024,Team A, Team B ,3,5,away win
11-08-2024,team c,team b,4,3,HOME WIN
2024/11/09,TEAM D,TEAM E,0,1,AWAY WIN
22-11-2024, Team E ,TEAM C,0,2,Away Win
2024-04-05,TEAM E,TEAM D,0,4,Away Win
21-04-2024, Team B ,TEAM D,1,0,home win
16-05-2024,Team D, Team C ,0,1,Away Win
2024-12-31, Team B , Team E ,2,0,Home Win
16-04-2024, Team B ,TEAM A,5,4,HOME WIN
03-03-2024, Team C ,TEAM B,0,4,AWAY WIN
20-11-2024,TEAM B,Team C,5,0,Home Win
2024/10/24, Team B ,team c,3,0,Home Win
2024-11-16,Team C,TEAM A,3,4,away win
26-06-2024,team b,Team A,1,4,AWAY WIN
2024/08/12,TEAM D, Team C ,2,3,AWAY WIN
2024-10-10,Team B,team e,2,2,DRAW
16-09-2024,team d,Team C,4,0,HOME WIN
02-10-2024,team e, Team C ,1,0,HOME WIN
2024/02/19,Team E,Team B,2,2,Draw
2024/01/17, Team B , Team E ,1,1,Draw
2024-01-07, Team E ,Team C,,5,Home Win
2024-12-28,TEAM D,Team A,5,3,home win
2024/04/28, Team A ,team c,Two,0,Home Win
2024/02/24,TEAM B, Team E ,1,4,away win
2024-12-02, Team D ,TEAM A,1,4,away win
2024/06/14,team c,team e,3,3,DRAW
18-01-2024,Team D,team c,3,3,Draw
19-12-2024,team c,Team A,1,2,Away Win
29-04-2024,TEAM A,Team D,1,4,Away Win
2024-09-04, Team E ,Team D,1,5,away win
29-01-2024,TEAM E, Team C ,,3,Home Win
2024/11/20, Team D ,Team A,1,4,Away Win
2024-04-23,Team C, Team A ,4,4,DRAW
2024-06-21, Team D ,Team A,2,1,Home Win
10-03-2024,team e, Team D ,3,5,Away Win
16-05-2024,TEAM D,Team B,5,1,Home Win
2024-12-01,TEAM A,team d,2,2,DRAW
2024/04/12,TEAM C,team d,3,,Away Win
08-01-2024,Team A,TEAM E,1,1,draw
2024/04/14,TEAM D, Team E ,,4,Away Win
2024-05-10,Team E,TEAM B,5,,Home Win
2024-02-25,TEAM B, Team C ,Two,Three,Draw
2024/11/01,Team B,team d,5,2,home win
28-09-2024,TEAM B, Team D ,5,,Away Win
2024/04/30,TEAM D,Team B,,2,Draw
18-03-2024, Team C ,team d,0,2,Away Win
26-04-2024,team a,team d,5,5,DRAW
2024-11-30,team d,team c,2,1,Home Win
2024-06-11,Team C,team b,1,4,Away Win
04-06-2024,TEAM C,team b,2,3,away win
2024/05/16,team b,team a,0,4,AWAY WIN
05-11-2024,TEAM B,team a,5,1,HOME WIN
08-01-2024, Team D ,team e,1,0,home win
2024-08-22, Team B , Team E ,Three,3,Draw
2024/10/31,Team A,Team D,3,5,AWAY WIN
02-10-2024,Team D, Team E ,0,1,AWAY WIN
2024-08-24, Team E ,TEAM A,3,2,home win
2024/02/16,Team E,team a,1,5,away win
2024/10/29,team e, Team B ,2,1,home win
2024-03-04,Team A, Team C ,5,1,HOME WIN
22-03-2024, Team C ,Team A,3,4,AWAY WIN
2024/04/01,Team B, Team C ,5,1,Home Win
2024-03-08,Team C,TEAM E,3,1,Home Win
2024-09-09,team a, Team D ,3,0,HOME WIN
2024/05/22,team d,Team E,4,1,HOME WIN
2024/12/07,TEAM B,TEAM E,Three,,Home Win
2024/12/04,team a, Team E ,1,2,AWAY WIN
2024-07-13, Team E ,Team C,0,2,away win
2024/07/30,team c,team d,5,2,HOME WIN
2024/09/04,TEAM E, Team A ,5,4,Home Win
2024/11/10, Team E , Team C ,4,2,Home Win
2024-03-01, Team D ,Team B,1,1,Draw
2024/01/06,team b,TEAM D,2,5,Away Win
17-12-2024,TEAM C, Team A ,4,0,Home Win
02-09-2024,Team E,team a,1,2,AWAY WIN
2024/01/29,TEAM D,TEAM B,4,3,home win
17-03-2024,Team E,TEAM A,5,2,Home Win
27-12-2024,Team D,TEAM B,3,0,home win
25-09-2024,team d,Team A,1,2,Away Win
2024-09-13,team c,TEAM A,0,0,draw
2024-12-12,team d,Team C,1,0,HOME WIN
2024/12/17,Team D,TEAM E,4,2,Home Win
2024/06/08,team d,TEAM A,5,0,HOME WIN
01-03-2024,team b,team e,4,3,HOME WIN
2024/04/15,TEAM C,TEAM A,,4,Home Win
2024/06/08,TEAM C, Team B ,2,1,Home Win
2024-07-15,Team A, Team B ,,0,Home Win
2024/08/16,TEAM D,TEAM B,4,5,AWAY WIN
2024-10-17,Team C, Team B ,5,0,home win
2024-04-28,team a,TEAM D,5,3,home win
2024-09-06,Team C, Team D ,5,2,home win
