Match Date,Home Team,Away Team,Home Score,Away Score,Result
2024-01-17,Team B,Team A,5,3,Home Win
2024-07-22,Team C,Team E,0,4,Away Win
2024-05-14,Team A,Team E,3,4,Away Win
2024-08-19,Team E,Team C,3,1,Home Win
2024-12-30,Team C,Team E,4,2,Home Win
2024-01-14,Team E,Team B,1,1,Draw
2024-09-26,Team E,Team B,0,3,Away Win
2024-03-06,Team B,Team C,3,4,Away Win
2024-06-14,Team D,Team A,4,1,Home Win
2024-03-05,Team E,Team C,2,4,Away Win
2024-05-11,Team E,Team B,4,5,Away Win
2024-08-01,Team A,Team E,4,1,Home Win
2024-01-06,Team E,Team C,2,5,Away Win
2024-06-09,Team B,Team D,3,4,Away Win
2024-08-26,Team D,Team B,4,2,Home Win
2024-05-07,Team B,Team E,2,4,Away Win
2024-01-12,Team B,Team E,4,2,Home Win
2024-05-26,Team B,Team E,0,3,Away Win
2024-01-24,Team D,Team B,5,3,Home Win
2024-03-06,Team C,Team E,3,2,Home Win
2024-01-21,Team C,Team E,1,3,Away Win
2024-06-16,Team C,Team D,1,4,Away Win
2024-12-28,Team D,Team C,4,4,Draw
2024-12-18,Team A,Team C,0,4,Away Win
2024-11-13,Team C,Team B,4,4,Draw
2024-12-19,Team A,Team E,3,1,Home Win
2024-09-26,Team A,Team B,4,5,Away Win
2024-11-25,Team D,Team C,5,5,Draw
2024-12-26,Team B,Team E,2,2,Draw
2024-12-12,Team D,Team C,5,0,Home Win
2024-08-14,Team C,Team B,2,0,Home Win
2024-03-11,Team B,Team E,2,5,Away Win
2024-08-29,Team A,Team B,0,2,Away Win
2024-06-13,Team E,Team B,3,1,Home Win
2024-08-01,Team E,Team B,5,0,Home Win
2024-10-17,Team D,Team B,2,0,Home Win
2024-08-27,Team C,Team D,4,1,Home Win
2024-06-21,Team C,Team B,5,1,Home Win
2024-02-18,Team E,Team D,4,3,Home Win
2024-12-17,Team C,Team B,2,1,Home Win
2024-08-20,Team C,Team E,1,3,Away Win
2024-11-01,Team E,Team D,5,1,Home Win
2024-06-16,Team A,Team E,2,1,Home Win
2024-03-08,Team B,Team D,4,0,Home Win
2024-07-21,Team E,Team A,5,5,Draw
2024-10-07,Team D,Team B,5,5,Draw
2024-06-27,Team D,Team A,5,1,Home Win
2024-08-25,Team E,Team B,1,0,Home Win
2024-01-17,Team B,Team E,1,5,Away Win
2024-05-05,Team B,Team E,2,5,Away Win
2024-10-21,Team D,Team B,0,2,Away Win
2024-02-01,Team C,Team B,4,2,Home Win
2024-12-28,Team B,Team C,4,1,Home Win
2024-05-10,Team E,Team D,4,3,Home Win
2024-07-12,Team D,Team C,5,0,Home Win
2024-04-07,Team B,Team E,2,0,Home Win
2024-08-26,Team B,Team E,1,2,Away Win
2024-06-12,Team C,Team E,3,5,Away Win
2024-10-10,Team D,Team A,1,0,Home Win
2024-10-08,Team B,Team E,3,1,Home Win
2024-06-10,Team D,Team E,5,1,Home Win
2024-04-01,Team E,Team A,0,5,Away Win
2024-09-26,Team B,Team A,4,1,Home Win
2024-04-25,Team D,Team A,3,1,Home Win
2024-12-25,Team A,Team D,4,5,Away Win
2024-04-18,Team D,Team C,0,0,Draw
2024-01-17,Team A,Team E,2,4,Away Win
2024-03-24,Team B,Team E,5,0,Home Win
2024-02-10,Team E,Team C,5,5,Draw
2024-07-22,Team A,Team D,0,4,Away Win
2024-12-14,Team D,Team E,4,3,Home Win
2024-07-13,Team E,Team C,5,3,Home Win
2024-05-18,Team C,Team E,0,3,Away Win
2024-02-15,Team B,Team D,4,0,Home Win
2024-05-04,Team D,Team A,3,5,Away Win
2024-10-08,Team B,Team E,2,0,Home Win
2024-11-11,Team D,Team A,1,3,Away Win
2024-06-09,Team E,Team B,4,1,Home Win
2024-07-05,Team C,Team D,1,2,Away Win
2024-05-29,Team E,Team A,3,1,Home Win
2024-04-08,Team D,Team B,1,1,Draw
2024-10-05,Team E,Team D,4,5,Away Win
2024-10-15,Team A,Team B,2,4,Away Win
2024-02-13,Team E,Team B,0,2,Away Win
2024-02-19,Team C,Team E,1,2,Away Win
2024-07-26,Team E,Team B,2,3,Away Win
2024-02-22,Team B,Team E,5,0,Home Win
2024-11-23,Team C,Team B,2,3,Away Win
2024-06-01,Team E,Team A,3,5,Away Win
2024-09-18,Team C,Team A,0,5,Away Win
2024-03-29,Team E,Team D,3,5,Away Win
2024-09-05,Team C,Team B,3,2,Home Win
2024-03-26,Team E,Team D,3,3,Draw
2024-09-10,Team C,Team A,4,3,Home Win
2024-04-21,Team C,Team E,0,3,Away Win
2024-03-01,Team C,Team A,2,0,Home Win
2024-10-18,Team E,Team D,1,1,Draw
2024-02-18,Team C,Team E,2,4,Away Win
2024-05-06,Team C,Team B,1,5,Away Win
2024-07-25,Team B,Team C,3,5,Away Win
2024-08-22,Team D,Team E,0,5,Away Win
2024-06-14,Team E,Team D,3,3,Draw
2024-11-16,Team E,Team D,5,0,Home Win
2024-11-28,Team B,Team D,3,5,Away Win
2024-01-27,Team A,Team C,2,5,Away Win
2024-10-30,Team D,Team A,0,0,Draw
2024-04-27,Team A,Team C,3,3,Draw
2024-12-12,Team A,Team C,2,1,Home Win
2024-07-29,Team E,Team B,5,5,Draw
2024-07-08,Team A,Team E,0,3,Away Win
2024-12-19,Team C,Team A,4,4,Draw
2024-07-16,Team E,Team B,2,1,Home Win
2024-07-17,Team E,Team A,0,2,Away Win
2024-12-25,Team A,Team D,5,3,Home Win
2024-06-16,Team C,Team A,4,1,Home Win
2024-11-09,Team D,Team B,2,0,Home Win
2024-06-20,Team C,Team B,2,0,Home Win
2024-03-26,Team C,Team A,4,3,Home Win
2024-01-12,Team D,Team B,0,5,Away Win
2024-07-09,Team B,Team D,2,0,Home Win
2024-06-16,Team B,Team A,0,2,Away Win
2024-07-07,Team C,Team B,2,1,Home Win
2024-01-05,Team A,Team D,5,1,Home Win
2024-12-24,Team B,Team C,1,4,Away Win
2024-10-17,Team E,Team A,5,0,Home Win
2024-06-16,Team B,Team C,2,3,Away Win
2024-03-20,Team B,Team A,1,4,Away Win
2024-06-06,Team D,Team C,4,1,Home Win
2024-01-21,Team A,Team B,2,5,Away Win
2024-05-13,Team A,Team B,3,5,Away Win
2024-01-07,Team D,Team B,0,1,Away Win
2024-10-27,Team B,Team D,5,0,Home Win
2024-03-03,Team A,Team B,3,0,Home Win
2024-08-06,Team B,Team D,3,3,Draw
2024-11-25,Team E,Team D,3,3,Draw
2024-06-13,Team D,Team C,3,4,Away Win
2024-08-29,Team A,Team C,0,2,Away Win
2024-04-22,Team B,Team A,1,5,Away Win
2024-10-29,Team B,Team E,2,5,Away Win
2024-01-20,Team E,Team B,3,1,Home Win
2024-07-05,Team A,Team E,5,0,Home Win
2024-08-11,Team E,Team A,2,1,Home Win
2024-12-18,Team B,Team C,4,3,Home Win
2024-11-21,Team B,Team C,1,2,Away Win
2024-01-01,Team A,Team C,5,3,Home Win
2024-07-11,Team D,Team B,3,2,Home Win
2024-02-23,Team B,Team D,2,2,Draw
2024-10-31,Team D,Team B,4,0,Home Win
2024-04-15,Team D,Team B,3,0,Home Win
2024-03-19,Team C,Team E,0,4,Away Win
2024-02-19,Team D,Team A,5,3,Home Win
2024-09-07,Team C,Team A,0,3,Away Win
2024-05-14,Team E,Team D,3,3,Draw
2024-02-13,Team B,Team C,1,5,Away Win
2024-12-17,Team E,Team B,3,3,Draw
2024-11-17,Team B,Team E,3,3,Draw
2024-08-22,Team A,Team E,3,2,Home Win
2024-10-15,Team D,Team B,4,0,Home Win
2024-03-29,Team D,Team C,3,3,Draw
2024-12-16,Team C,Team A,2,3,Away Win
2024-11-26,Team C,Team D,2,3,Away Win
2024-03-22,Team B,Team D,4,0,Home Win
2024-08-21,Team B,Team A,1,1,Draw
2024-01-16,Team C,Team E,4,0,Home Win
2024-03-24,Team E,Team D,3,2,Home Win
2024-06-27,Team C,Team E,5,3,Home Win
2024-09-18,Team D,Team C,4,0,Home Win
2024-05-21,Team C,Team A,2,5,Away Win
2024-03-12,Team B,Team E,4,2,Home Win
2024-12-28,Team C,Team E,3,0,Home Win
2024-12-02,Team B,Team D,5,2,Home Win
2024-12-14,Team A,Team D,2,4,Away Win
2024-05-13,Team C,Team B,2,2,Draw
2024-12-14,Team A,Team D,2,1,Home Win
2024-03-14,Team A,Team B,1,4,Away Win
2024-08-19,Team D,Team C,1,0,Home Win
2024-07-08,Team E,Team B,0,3,Away Win
2024-09-14,Team A,Team B,2,0,Home Win
2024-09-25,Team A,Team E,2,4,Away Win
2024-04-26,Team C,Team D,1,3,Away Win
2024-11-23,Team A,Team B,5,0,Home Win
2024-09-11,Team D,Team A,4,0,Home Win
2024-09-11,Team E,Team B,3,0,Home Win
2024-03-30,Team C,Team B,2,0,Home Win
2024-03-11,Team C,Team D,0,0,Draw
2024-06-24,Team C,Team D,2,0,Home Win
2024-11-28,Team D,Team E,3,3,Draw
2024-08-12,Team A,Team B,4,4,Draw
2024-09-06,Team E,Team A,5,1,Home Win
2024-11-09,Team B,Team D,5,1,Home Win
2024-03-05,Team E,Team D,1,3,Away Win
2024-08-23,Team E,Team B,3,1,Home Win
2024-07-25,Team D,Team E,3,0,Home Win
2024-06-23,Team A,Team C,4,5,Away Win
2024-07-05,Team D,Team C,4,5,Away Win
2024-05-10,Team A,Team B,5,3,Home Win
2024-01-24,Team A,Team D,1,0,Home Win
2024-08-09,Team D,Team B,0,0,Draw
2024-06-11,Team E,Team B,1,5,Away Win
2024-11-03,Team E,Team B,2,3,Away Win
2024-12-10,Team E,Team B,4,5,Away Win
2024-08-01,Team A,Team C,4,5,Away Win
2024-01-17,Team C,Team B,5,1,Home Win
2024-05-27,Team E,Team B,4,4,Draw
2024-01-07,Team D,Team E,5,4,Home Win
2024-10-28,Team E,Team D,5,5,Draw
2024-07-12,Team C,Team D,5,2,Home Win
2024-08-26,Team E,Team C,4,0,Home Win
2024-09-08,Team B,Team C,5,5,Draw
2024-10-05,Team C,Team B,4,2,Home Win
2024-04-21,Team C,Team B,5,2,Home Win
2024-01-21,Team A,Team C,5,4,Home Win
2024-09-20,Team A,Team D,5,4,Home Win
2024-03-26,Team A,Team C,1,0,Home Win
2024-12-25,Team B,Team E,3,1,Home Win
2024-09-08,Team E,Team B,3,5,Away Win
2024-07-02,Team A,Team E,4,2,Home Win
2024-08-30,Team C,Team A,3,5,Away Win
2024-07-10,Team D,Team C,1,5,Away Win
2024-04-17,Team A,Team E,3,0,Home Win
2024-02-28,Team D,Team B,1,2,Away Win
2024-10-24,Team E,Team A,0,1,Away Win
2024-05-09,Team B,Team E,4,2,Home Win
2024-03-01,Team E,Team B,2,3,Away Win
2024-08-24,Team D,Team C,1,2,Away Win
2024-10-02,Team D,Team A,4,2,Home Win
2024-05-28,Team E,Team D,1,1,Draw
2024-03-25,Team D,Team C,5,4,Home Win
2024-04-09,Team B,Team E,4,1,Home Win
2024-09-22,Team D,Team B,3,5,Away Win
2024-09-21,Team D,Team C,0,3,Away Win
2024-03-25,Team D,Team E,0,1,Away Win
2024-04-27,Team B,Team E,2,0,Home Win
2024-05-04,Team D,Team E,4,3,Home Win
2024-09-21,Team B,Team A,1,3,Away Win
2024-07-29,Team A,Team B,3,1,Home Win
2024-10-29,Team E,Team C,5,3,Home Win
2024-08-02,Team D,Team B,1,4,Away Win
2024-09-03,Team D,Team A,4,0,Home Win
2024-03-09,Team D,Team E,0,3,Away Win
2024-11-02,Team D,Team B,1,0,Home Win
2024-04-01,Team B,Team A,0,0,Draw
2024-01-10,Team D,Team C,3,2,Home Win
2024-11-10,Team D,Team B,4,2,Home Win
2024-04-27,Team E,Team C,3,5,Away Win
2024-01-27,Team B,Team D,4,5,Away Win
2024-04-23,Team A,Team B,4,0,Home Win
2024-03-30,Team D,Team E,4,4,Draw
2024-09-18,Team A,Team B,4,0,Home Win
2024-07-23,Team A,Team C,0,0,Draw
2024-05-25,Team E,Team B,5,0,Home Win
2024-03-01,Team C,Team B,1,3,Away Win
2024-05-11,Team E,Team A,4,0,Home Win
2024-08-23,Team D,Team E,2,3,Away Win
2024-07-30,Team A,Team C,2,1,Home Win
2024-10-10,Team B,Team C,5,2,Home Win
2024-07-04,Team C,Team B,2,5,Away Win
2024-03-20,Team B,Team C,1,4,Away Win
2024-11-13,Team D,Team A,4,3,Home Win
2024-03-06,Team D,Team B,4,1,Home Win
2024-03-02,Team E,Team A,3,1,Home Win
2024-09-11,Team A,Team E,3,2,Home Win
2024-08-05,Team B,Team C,4,1,Home Win
2024-04-27,Team C,Team D,1,4,Away Win
2024-08-30,Team E,Team D,1,5,Away Win
2024-06-09,Team D,Team B,5,5,Draw
2024-11-18,Team D,Team A,0,2,Away Win
2024-11-01,Team C,Team E,4,2,Home Win
2024-06-30,Team E,Team B,5,1,Home Win
2024-11-23,Team A,Team D,3,1,Home Win
2024-12-29,Team A,Team E,1,5,Away Win
2024-04-04,Team D,Team C,4,3,Home Win
2024-10-07,Team C,Team A,3,0,Home Win
2024-06-07,Team E,Team A,4,5,Away Win
2024-08-21,Team E,Team D,5,4,Home Win
2024-05-13,Team C,Team D,0,2,Away Win
2024-01-09,Team A,Team B,3,5,Away Win
2024-11-08,Team C,Team B,4,3,Home Win
2024-11-09,Team D,Team E,0,1,Away Win
2024-11-22,Team E,Team C,0,2,Away Win
2024-04-05,Team E,Team D,0,4,Away Win
2024-04-21,Team B,Team D,1,0,Home Win
2024-05-16,Team D,Team C,0,1,Away Win
2024-12-31,Team B,Team E,2,0,Home Win
2024-04-16,Team B,Team A,5,4,Home Win
2024-03-03,Team C,Team B,0,4,Away Win
2024-11-20,Team B,Team C,5,0,Home Win
2024-10-24,Team B,Team C,3,0,Home Win
2024-11-16,Team C,Team A,3,4,Away Win
2024-06-26,Team B,Team A,1,4,Away Win
2024-08-12,Team D,Team C,2,3,Away Win
2024-10-10,Team B,Team E,2,2,Draw
2024-09-16,Team D,Team C,4,0,Home Win
2024-02-10,Team E,Team C,1,0,Home Win
2024-02-19,Team E,Team B,2,2,Draw
2024-01-17,Team B,Team E,1,1,Draw
2024-12-28,Team D,Team A,5,3,Home Win
2024-04-28,Team A,Team C,2,0,Home Win
2024-02-24,Team B,Team E,1,4,Away Win
2024-12-02,Team D,Team A,1,4,Away Win
2024-06-14,Team C,Team E,3,3,Draw
2024-01-18,Team D,Team C,3,3,Draw
2024-12-19,Team C,Team A,1,2,Away Win
2024-04-29,Team A,Team D,1,4,Away Win
2024-09-04,Team E,Team D,1,5,Away Win
2024-11-20,Team D,Team A,1,4,Away Win
2024-04-23,Team C,Team A,4,4,Draw
2024-06-21,Team D,Team A,2,1,Home Win
2024-10-03,Team E,Team D,3,5,Away Win
2024-05-16,Team D,Team B,5,1,Home Win
2024-12-01,Team A,Team D,2,2,Draw
2024-08-01,Team A,Team E,1,1,Draw
2024-02-25,Team B,Team C,2,3,Away Win
2024-11-01,Team B,Team D,5,2,Home Win
2024-03-18,Team C,Team D,0,2,Away Win
2024-04-26,Team A,Team D,5,5,Draw
2024-11-30,Team D,Team C,2,1,Home Win
2024-06-11,Team C,Team B,1,4,Away Win
2024-04-06,Team C,Team B,2,3,Away Win
2024-05-16,Team B,Team A,0,4,Away Win
2024-05-11,Team B,Team A,5,1,Home Win
2024-08-01,Team D,Team E,1,0,Home Win
2024-08-22,Team B,Team E,3,3,Draw
2024-10-31,Team A,Team D,3,5,Away Win
2024-02-10,Team D,Team E,0,1,Away Win
2024-08-24,Team E,Team A,3,2,Home Win
2024-02-16,Team E,Team A,1,5,Away Win
2024-10-29,Team E,Team B,2,1,Home Win
2024-03-04,Team A,Team C,5,1,Home Win
2024-03-22,Team C,Team A,3,4,Away Win
2024-04-01,Team B,Team C,5,1,Home Win
2024-03-08,Team C,Team E,3,1,Home Win
2024-09-09,Team A,Team D,3,0,Home Win
2024-05-22,Team D,Team E,4,1,Home Win
2024-12-04,Team A,Team E,1,2,Away Win
2024-07-13,Team E,Team C,0,2,Away Win
2024-07-30,Team C,Team D,5,2,Home Win
2024-09-04,Team E,Team A,5,4,Home Win
2024-11-10,Team E,Team C,4,2,Home Win
2024-03-01,Team D,Team B,1,1,Draw
2024-01-06,Team B,Team D,2,5,Away Win
2024-12-17,Team C,Team A,4,0,Home Win
2024-02-09,Team E,Team A,1,2,Away Win
2024-01-29,Team D,Team B,4,3,Home Win
2024-03-17,Team E,Team A,5,2,Home Win
2024-12-27,Team D,Team B,3,0,Home Win
2024-09-25,Team D,Team A,1,2,Away Win
2024-09-13,Team C,Team A,0,0,Draw
2024-12-12,Team D,Team C,1,0,Home Win
2024-12-17,Team D,Team E,4,2,Home Win
2024-06-08,Team D,Team A,5,0,Home Win
2024-01-03,Team B,Team E,4,3,Home Win
2024-06-08,Team C,Team B,2,1,Home Win
2024-08-16,Team D,Team B,4,5,Away Win
2024-10-17,Team C,Team B,5,0,Home Win
2024-04-28,Team A,Team D,5,3,Home Win
2024-09-06,Team C,Team D,5,2,Home Win
2024-10-21,Team A,Team C,1,2,Away Win
2024-07-24,Team A,Team C,0,4,Away Win
2024-12-21,Team E,Team B,3,2,Home Win
2024-12-30,Team E,Team C,1,5,Away Win
2024-07-26,Team E,Team D,0,1,Away Win
2024-11-21,Team C,Team D,0,1,Away Win
2024-11-06,Team D,Team C,4,1,Home Win
2024-05-30,Team C,Team A,4,3,Home Win
2024-12-25,Team A,Team C,2,1,Home Win
2024-03-12,Team D,Team E,4,1,Home Win
2024-11-27,Team D,Team B,5,0,Home Win
2024-05-11,Team D,Team B,5,3,Home Win
2024-08-05,Team E,Team D,3,1,Home Win
2024-10-17,Team B,Team C,4,0,Home Win
2024-05-23,Team E,Team D,0,5,Away Win
2024-11-20,Team B,Team D,5,0,Home Win
2024-06-18,Team C,Team A,4,4,Draw
2024-01-14,Team E,Team B,5,5,Draw
2024-05-20,Team B,Team A,2,4,Away Win
2024-03-30,Team E,Team B,5,3,Home Win
2024-10-09,Team B,Team A,0,4,Away Win
2024-05-15,Team D,Team B,5,0,Home Win
2024-07-13,Team D,Team E,3,4,Away Win
2024-06-20,Team A,Team C,3,5,Away Win
2024-10-28,Team C,Team D,5,5,Draw
2024-04-04,Team A,Team E,1,5,Away Win
2024-12-20,Team C,Team D,0,2,Away Win
2024-12-05,Team B,Team A,0,2,Away Win
2024-09-08,Team A,Team D,1,1,Draw
2024-02-06,Team B,Team A,5,0,Home Win
2024-11-08,Team C,Team D,4,3,Home Win
2024-06-19,Team A,Team D,3,4,Away Win
2024-11-27,Team A,Team E,2,3,Away Win
2024-02-07,Team D,Team B,3,5,Away Win
2024-03-17,Team A,Team B,5,5,Draw
2024-05-04,Team A,Team B,0,4,Away Win
2024-02-02,Team B,Team A,0,1,Away Win
2024-06-15,Team E,Team B,2,5,Away Win
2024-07-31,Team B,Team A,2,3,Away Win
2024-07-11,Team D,Team B,0,5,Away Win
2024-11-08,Team B,Team E,4,1,Home Win
2024-04-30,Team D,Team A,2,0,Home Win
2024-12-03,Team E,Team C,4,3,Home Win
2024-03-31,Team B,Team A,5,3,Home Win
2024-02-23,Team C,Team E,2,3,Away Win
2024-10-30,Team B,Team A,0,2,Away Win
2024-07-30,Team B,Team C,0,0,Draw
2024-08-11,Team A,Team D,0,1,Away Win
2024-06-20,Team C,Team B,1,2,Away Win
2024-04-22,Team C,Team B,3,1,Home Win
2024-08-30,Team E,Team B,4,1,Home Win
2024-10-20,Team D,Team B,3,4,Away Win
2024-08-03,Team D,Team B,0,3,Away Win
2024-10-25,Team A,Team E,2,3,Away Win
2024-01-01,Team B,Team D,2,5,Away Win
2024-10-21,Team C,Team A,2,4,Away Win
2024-01-21,Team A,Team C,0,3,Away Win
2024-10-03,Team E,Team A,1,2,Away Win
2024-01-28,Team B,Team C,2,3,Away Win
2024-09-29,Team D,Team E,0,4,Away Win
2024-05-27,Team A,Team B,3,3,Draw
2024-11-17,Team C,Team A,3,1,Home Win
2024-05-29,Team E,Team B,3,5,Away Win
2024-10-30,Team B,Team C,2,2,Draw
2024-04-09,Team C,Team B,2,2,Draw
2024-01-10,Team B,Team C,1,1,Draw
2024-08-13,Team B,Team E,0,4,Away Win
2024-03-24,Team B,Team A,2,3,Away Win
2024-01-03,Team A,Team D,1,2,Away Win
2024-08-14,Team D,Team C,4,4,Draw
2024-04-22,Team A,Team B,0,3,Away Win
2024-04-10,Team C,Team A,1,1,Draw
